8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
r1bqkbnr/pp3ppp/2n1p3/3p4/3QP3/2P2P2/PP4PP/RNB1KBNR w KQkq - 1 6|b8c6|Nc6|d4d1
rnb1k1nr/ppp2pbp/1q2p1p1/3p2B1/2PP4/2N2NP1/PP2PP1P/R2QKB1R w KQkq - 1 7|d6b6|Qb6|g5e3
r1bq1rk1/pp2ppbp/n2p1np1/2p5/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w - - 2 8|b8a6|Na6|d4d5
8/p1k1r1p1/1pp1pp1p/3r1q2/3P4/PQP5/KP2R3/1R6 w - - 0 34|b7b6|b6|e2c2
2R2b2/5pkp/4p3/5r2/8/4K3/8/8 w - - 4 44|f4f5|Rf5|e3e4
8/8/p7/k1p4p/P3KP2/1P5P/8/8 b - - 0 45|f2f4|f4|a5b4
rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3|g7g6|g6|d2d4
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3|b8c6|Nc6|d2d4
r2qknnr/pp1bbppp/2ppp3/4P3/3P1P2/2PB1N2/PP4PP/RNBQ1RK1 b kq - 0 8|e4e5|e5|d8c7
1knr3r/p1p1qppp/1p1b4/4P3/3P4/4QN1P/PP2N1P1/R4RK1 b - - 0 22|e4e5|e5|d6b4
2kr1b1r/p2b1ppp/2nPp3/1Q3q2/1P2N1n1/5NB1/P4PPP/2R1KB1R b K - 0 17|d3b5|Qxb5|d8e8
2krbb1r/1pq2ppp/p5n1/1P1ppN1B/P7/4PQ2/2PB2PP/R4RK1 w - - 2 20|d6f8|Bf8|b5a6
rnbqk1nr/pppp1pb1/4p1pp/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d4|d4|a7a6
rnbqkbnr/pp2pppp/3p4/2P5/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3|d4c5|dxc5|d6c5
r1bqkb1r/pppp1pp1/2n4p/4N3/4PB2/7P/PPP2PP1/RN1QKB1R b KQkq - 0 7|f3e5|Nxe5|c6e5
r1bq1rk1/1p3pbp/2np2p1/4P3/8/1pN5/PPP1B1PP/R1BQ1RK1 w - - 0 15|a4b3|axb3|e5e6
5rk1/p1p2p2/1p4p1/3P3p/P1PP1P2/3RBK2/2P4P/1n6 w - - 0 31|h7h5|h5|h2h4
1B6/8/6p1/3B1pkp/2p1p3/2P1P1P1/5P1P/R5K1 w - - 0 33|h7h5|h5|b8f4
8/1p5r/5p2/3p4/1k1N4/8/2P4P/R1KB4 w - - 6 36|c7h7|Rh7|c1b2
1k6/8/1pp1BB2/1P2N2P/2NPP3/p7/P1P2K1P/R7 w - - 0 39|a4a3|a3|h5h6
r1b1q1k1/pp4pp/2p1p1rb/3pP2B/4pP2/PP2P1P1/2P2R1P/R1BQ2K1 b - - 4 18|f1f2|Rf2|e8e7
3R4/QR6/6p1/4k3/8/8/P1P4P/1K6 b - - 0 41|c8d8|Rxd8|e5f5
rnbqk1nr/ppp1bppp/3p4/4p3/4P3/3P2P1/PPP2PBP/RNBQK1NR b KQkq - 0 4|e2e4|e4|g8f6
k1rRq3/p1P5/1p6/4P2p/3Q2p1/8/PPPK1rb1/6NR w - - 2 30|f1f2|Rf2+|g1e2
r2q1rk1/bpp1npp1/p2pbn1p/P3p3/1PPPP3/2N2N2/1BQ1BPPP/R4RK1 b - - 0 14|d2d4|d4|e5d4
r1bq1rk1/1pppnppp/p1n5/8/Bb1PP3/2N2N2/PP3PPP/R1BQK2R w KQ - 3 9|e8g8|O-O|e1g1
