r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2PP1N2/PP3PPP/RNBQKB1R w KQkq - 1 5|f8c5|Bc5|c1g5
r2q3r/ppp2kpp/3pbb2/3Q4/4P3/8/PPP2PPP/RN2K2R w KQ - 2 11|c8e6|Be6|d5h5
1B1R4/p4k1p/6p1/bp3b2/8/2P2P2/PP5P/2K3R1 b - - 0 24|d1d8|Rxd8|a5d8
rn1q1rk1/pbpp2pp/4p3/5P2/2B5/2NP1N2/PPP2KPP/R2Q3R b - - 0 11|e4f5|exf5|d8f6
r2qk2r/pb3p2/7p/3p2p1/1p1N2n1/4P3/PPP1NPPP/R2Q1RK1 b kq - 3 16|e1g1|O-O|e8g8
rnbqk1nr/ppppbppp/8/8/2B1P3/5N2/PB3PPP/RN1QK2R b KQkq - 2 6|g1f3|Nf3|g8f6
1qr3k1/1b2bpp1/1p1pp2p/1Pn5/1N6/P3PP1P/1Q2BBP1/5RK1 b - - 8 26|b3b2|Qb2|e7f6
r1b1nrk1/2p1b1pp/1qn4B/p2pPp2/1p6/3B1NQP/PPP1N1P1/R4R1K w - - 3 19|d7c8|Bc8|c2c4
rn5Q/p1kp3p/2b5/4P1p1/2P5/1B3qN1/PP3P1P/R1B1RK2 w - - 1 23|b5c6|Bc6|h8f6
8/1P6/2Rp3p/p3bpk1/4p3/1P6/P2K2PP/8 b - - 0 36|b6b7|b7|d6d5
r4rk1/ppp2ppp/3P1b2/8/3q4/1P5P/P3RPP1/R1Bn2K1 w - - 0 19|d5d4|Qxd4|d6c7
8/5pk1/2p3pp/1pPr4/1P3R2/1Q4P1/5PPK/4q3 b - - 7 42|g1h2|Kh2|d5h5
rn1qkb1r/ppp2ppp/5n2/5bB1/4p3/3P2P1/PPP2PBP/RN1QK1NR w KQkq - 2 8|c8f5|Bf5|b1c3
r2qr1k1/pppnbppp/2bp4/8/P3P3/2NB1P2/1PP2BPP/R2Q1RK1 b - - 0 12|a2a4|a4|e7f6
r4Qk1/ppp4p/2n2p2/4p3/3pP3/P2P4/1PPNN3/1K4R1 b - - 0 28|g7f8q|gxf8=Q+|g8f8
r3kb2/ppp2p1Q/2n3p1/5b2/8/3PB3/PPPK1P1P/q7 b q - 1 14|g5e3|Be3|e8c8
rnbqkb1r/pp3ppp/2p2n2/3p4/Q2P4/2N2N2/PP2PPPP/R1B1KB1R b KQkq - 0 6|d2d4|d4|f8d6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/7P/PPP1PPP1/RNBQKBNR w KQkq - 1 3|g8f6|Nf6|g1f3
8/4bpk1/6pp/3nPp2/5P2/5K1P/5BP1/8 w - - 2 45|g8g7|Kg7|g2g4
2r3k1/4b1pp/p2p2n1/q2Pp3/4Pr2/2N2N1P/P2Q2P1/1R3RK1 w - - 3 21|a8c8|Rc8|c3e2
rnb1kbnr/pp3ppp/2pq4/8/3p4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 0 7|e5d4|exd4|d1d4
r2q1rk1/4pp1p/p2p2p1/3P4/7P/2b2N2/5PP1/2RQ1RK1 b - - 1 18|a1c1|Rc1|c3g7
r2qrnk1/pp1b1ppp/2p2b2/3p4/3P4/2NB1PB1/PPPQR1PP/4R1K1 w - - 3 18|e7f6|Bf6|g3e5
rnbq1rk1/ppp2pbp/3p1np1/4P3/4P3/3BBN2/PPP2PPP/RN1Q1RK1 b - - 0 7|d4e5|dxe5|d6e5
7r/p5kp/np2pnp1/2p5/2N5/1P2P3/P4PPP/3R2K1 b - - 1 21|d6c4|Nc4|g7f7
r4rk1/p3bpp1/1p1p3p/nPpPp3/2P5/P2P1QPq/5P1P/R1B1K2R w KQ - 0 16|d7h3|Qxh3|c1e3
r4q1r/p1p1k3/1p2p2p/2p1p3/4P3/2P1Q3/PP3PPP/3RK2R w K - 0 17|b7b6|b6|e1g1
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 2 2|g1f3|Nf3|g7g6
3qk1nr/2p2pp1/3p3p/r3p3/1Q2P3/1B1PbP1P/1PP2P2/1N2K2R w Kk - 0 17|a8a5|Rxa5|b4a5
r4rk1/pp3p1p/2q2pb1/1B1pb3/P2Q4/1P2P2P/2P3P1/RN3RK1 b - - 1 18|e2b5|Bb5|e5d4
3kr3/ppp4P/3p4/3r4/5Pn1/1PP3P1/P4b2/R4K1R w - - 1 31|e4e8|Re8|h7h8q
1nbq1rk1/r1p1bppp/p4n2/1p1Bp3/3P4/6Q1/PPP2PPP/RNB1K1NR w KQ - 0 10|d6e5|dxe5|d4e5
r1bq1rk1/ppp1bppp/2n2n2/1B6/3p4/5N2/PPPPQPPP/RNB1R1K1 w - - 8 9|e8g8|O-O|b5c6
8/5r2/pq4kp/2p2pp1/8/1P4P1/PQ3PBP/4R1K1 w - - 5 36|g7g6|Kg6|g2d5
